university name,program,country,gre score,toefl score,cgpa,deadline,required documents,tuition fee,chance of admit
mcgill university,Software Engineering,Canada,317,114,8.56,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24481,0.74
yale university,Data Analytics,USA,331,109,8.33,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",59131,0.54
university of waterloo,Digital Transformation,Canada,330,102,9.3,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22824,0.74
university of bonn,Information Systems,Germany,319,108,6.63,"Apr 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",1793,0.8
university of sydney,AI & Robotics,Australia,325,111,9.16,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",34185,0.57
georgia tech,Computational Finance,USA,316,102,9.47,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",33933,0.67
university of california los angeles,Engineering,USA,328,111,9.49,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",43566,0.8
university of nottingham,Cloud Computing,UK,307,107,6.81,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",23424,0.7
university of hamburg,Cloud Computing,Germany,321,94,8.17,"Dec 01, 2025","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",712,0.82
university of edinburgh,Human-Computer Interaction,UK,332,113,8.56,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",29940,0.75
boston university,AI & Robotics,USA,311,93,6.57,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44704,0.71
harvard university,Software Engineering,USA,331,107,8.2,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",53137,0.58
cornell university,Software Engineering,USA,316,112,8.38,"Mar 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",56210,0.71
university of michigan,Engineering,USA,331,109,7.97,"Nov 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",48996,0.7
leiden university,Machine Learning,Netherlands,322,109,9.25,"Oct 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",16704,0.7
university of edinburgh,AI & Robotics,UK,316,105,8.75,"Oct 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",30749,0.67
university of glasgow,Cloud Computing,UK,321,100,8.1,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",25672,0.79
university of california los angeles,Computational Finance,USA,330,107,9.2,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",43231,0.78
university of michigan,Computational Finance,USA,328,113,8.61,"Jun 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",46549,0.71
university of waterloo,Machine Learning,Canada,317,114,9.19,"Oct 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",21378,0.74
rice university,Data Analytics,USA,323,112,8.85,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",53469,0.76
rice university,Digital Transformation,USA,332,106,8.46,"Apr 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",52363,0.78
stanford university,Data Science,USA,331,108,9.49,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",56961,0.64
university of waterloo,Cloud Computing,Canada,322,110,9.05,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22559,0.72
university of leeds,AI & Machine Learning,UK,313,101,7.68,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",25036,0.73
heidelberg university,Machine Learning,Germany,321,111,8.13,"Nov 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",687,0.73
university of southern california,Computer Science,USA,313,107,8.65,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",49372,0.79
university of toronto,Machine Learning,Canada,332,117,9.14,"Sep 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28006,0.64
university college dublin,Machine Learning,Ireland,313,105,8.72,"Sep 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof",20628,0.81
university of leeds,Business Analytics,UK,309,107,7.62,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",25220,0.77
purdue university,Data Analytics,USA,305,103,6.82,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",29583,0.67
boston university,Computer Science,USA,311,106,7.55,"Nov 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",42247,0.78
utrecht university,Bioinformatics,Netherlands,320,90,6.52,"Jun 30, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",15259,0.68
tu berlin,AI & Robotics,Germany,322,99,6.54,"Jun 30, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",3058,0.79
university of california san diego,Electrical Engineering,USA,318,104,7.98,"Oct 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",43538,0.63
university of leeds,AI & Robotics,UK,317,92,7.36,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24663,0.76
university of british columbia,AI & Machine Learning,Canada,317,101,7.69,"Jun 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26553,0.64
university of michigan,Computer Science,USA,320,102,8.5,"May 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",47777,0.68
new york university,Robotics Engineering,USA,306,97,6.99,"Nov 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",51835,0.7
columbia university,AI & ML,USA,323,101,7.86,"Dec 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57288,0.71
university of amsterdam,Engineering,Netherlands,327,102,8.1,"Mar 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",17309,0.7
university of melbourne,Computational Finance,Australia,335,117,9.51,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35573,0.66
university of glasgow,Data Analytics,UK,308,103,7.03,"May 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24311,0.74
utrecht university,Network Engineering,Netherlands,317,100,6.57,"Jul 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",14119,0.74
university of leeds,Computational Finance,UK,317,103,6.93,"Jun 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",25399,0.72
national university of singapore,AI & Machine Learning,Singapore,332,107,8.16,"Jun 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",19631,0.6
singapore management university,Engineering,Singapore,317,100,7.33,"Dec 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",15374,0.81
university of adelaide,Cybersecurity,Australia,313,93,6.8,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",28767,0.71
university of zurich,Robotics Engineering,Switzerland,328,103,7.55,"Oct 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",1649,0.64
leiden university,Machine Learning,Netherlands,327,100,8.08,"Jan 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",15588,0.71
university of zurich,Software Engineering,Switzerland,331,105,8.87,"Feb 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",894,0.72
concordia university,Bioinformatics,Canada,294,82,5.92,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",17130,0.66
purdue university,Cybersecurity,USA,313,97,8.16,"Nov 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",29030,0.78
deakin university,Electrical Engineering,Australia,294,89,5.52,"May 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",24620,0.72
university of nottingham,Machine Learning,UK,319,100,7.49,"Nov 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24666,0.75
king's college london,Network Engineering,UK,321,115,8.13,"May 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",30631,0.68
national university of ireland galway,Bioinformatics,Ireland,323,97,7.25,"Jun 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof",16148,0.77
university of bern,Data Science,Switzerland,323,107,6.91,"Dec 01, 2025","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",2253,0.84
tu munich,Data Science,Germany,339,114,9.66,"Jun 30, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",1283,0.69
duke university,AI & Machine Learning,USA,322,108,8.82,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57929,0.74
purdue university,Human-Computer Interaction,USA,324,105,7.84,"Oct 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",29188,0.87
national university of ireland galway,Information Systems,Ireland,322,91,8.32,"Oct 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof",16472,0.81
university of illinois urbana-champaign,Electrical Engineering,USA,322,111,7.83,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",33509,0.69
university of tokyo,Cloud Computing,Japan,335,118,8.21,"Apr 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Financial Proof",4403,0.59
karlsruhe institute of technology,Computational Finance,Germany,322,114,8.25,"Nov 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",2396,0.72
boston university,Cybersecurity,USA,305,105,6.74,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",43703,0.68
university of southern california,Cybersecurity,USA,314,100,7.55,"Oct 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",47847,0.76
heidelberg university,Electrical Engineering,Germany,329,114,8.14,"Dec 15, 2025","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",1729,0.76
yale university,Computer Science,USA,335,108,9.35,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57673,0.63
epfl,Business Analytics,Switzerland,335,118,9.92,"Jun 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",1249,0.69
university of california los angeles,Information Systems,USA,327,100,8.97,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",42808,0.72
university of melbourne,Computer Science,Australia,331,111,8.56,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",37882,0.6
university of hamburg,Business Analytics,Germany,316,100,6.95,"Apr 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",266,0.77
humboldt university berlin,Robotics Engineering,Germany,325,112,8.72,"Jan 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",2604,0.71
deakin university,Network Engineering,Australia,295,89,7.8,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",25417,0.79
university college london,Electrical Engineering,UK,322,109,7.73,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",32529,0.68
monash university,Network Engineering,Australia,319,112,8.35,"Oct 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",32993,0.71
university of tokyo,Business Analytics,Japan,330,120,8.58,"May 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Financial Proof",4766,0.65
national university of singapore,Data Analytics,Singapore,336,105,8.97,"Jun 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",19799,0.66
university of freiburg,Bioinformatics,Germany,318,105,7.46,"Sep 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",1818,0.76
university of bern,Computer Science,Switzerland,312,99,6.58,"Oct 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",920,0.7
deakin university,Digital Transformation,Australia,313,95,6.87,"Nov 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",23463,0.79
eth zurich,Cybersecurity,Switzerland,326,119,9.09,"Jan 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",2241,0.63
kyoto university,Software Engineering,Japan,334,106,8.9,"Jan 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Financial Proof",5227,0.6
johns hopkins university,Software Engineering,USA,321,111,9.22,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57499,0.69
duke university,Data Science,USA,321,101,8.64,"Apr 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57180,0.69
northeastern university,Machine Learning,USA,314,99,7.82,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",41107,0.73
university of queensland,Data Analytics,Australia,323,104,8.9,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",32543,0.67
king's college london,Software Engineering,UK,327,115,7.78,"Apr 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",31590,0.72
university of nottingham,Human-Computer Interaction,UK,307,92,7.43,"May 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",23139,0.71
humboldt university berlin,Machine Learning,Germany,315,102,8.96,"May 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",2077,0.71
university of hamburg,Cloud Computing,Germany,311,103,8.4,"Apr 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",1826,0.77
university of cambridge,Machine Learning,UK,329,120,9.58,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36795,0.6
nanyang technological university,Human-Computer Interaction,Singapore,325,108,9.86,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",17647,0.6
university of new south wales,Data Science,Australia,319,109,7.82,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",34122,0.68
western university,AI & ML,Canada,316,95,6.62,"Apr 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",21562,0.75
university of alberta,Information Systems,Canada,325,92,8.12,"Mar 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",19004,0.81
northwestern university,Digital Transformation,USA,322,114,7.52,"May 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",56849,0.71
university of new south wales,Engineering,Australia,330,102,7.96,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",33365,0.66
university of southampton,AI & Machine Learning,UK,309,102,8.28,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",23545,0.73
university of bern,Computer Science,Switzerland,324,95,7.51,"Mar 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",2959,0.8
boston university,Information Systems,USA,324,104,8.48,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",42355,0.81
johns hopkins university,Digital Transformation,USA,327,111,9.43,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",56288,0.73
university of tokyo,AI & ML,Japan,332,114,9.56,"Dec 01, 2025","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Financial Proof",6828,0.67
osaka university,AI & Machine Learning,Japan,321,106,9.0,"Dec 15, 2025","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Financial Proof",4710,0.73
mcmaster university,Bioinformatics,Canada,317,93,7.05,"Nov 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22613,0.7
stanford university,Cybersecurity,USA,335,109,8.77,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57328,0.6
university college dublin,Business Analytics,Ireland,320,92,6.54,"Dec 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof",18276,0.71
columbia university,Data Analytics,USA,327,109,8.76,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58052,0.72
australian national university,AI & ML,Australia,329,113,8.17,"Oct 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",33323,0.62
boston university,Computational Finance,USA,315,102,7.85,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44661,0.76
university of western australia,Software Engineering,Australia,306,97,6.7,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",30779,0.69
eindhoven university of technology,Data Analytics,Netherlands,324,105,7.74,"Feb 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",18899,0.69
arizona state university,Bioinformatics,USA,301,96,6.79,"Apr 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",27952,0.74
northwestern university,AI & Robotics,USA,318,100,8.17,"Apr 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55758,0.65
dalhousie university,Digital Transformation,Canada,310,82,6.74,"May 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",19092,0.73
university of bern,Business Analytics,Switzerland,316,95,7.09,"Nov 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",421,0.76
yale university,Software Engineering,USA,325,106,9.72,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57050,0.55
university of sheffield,Cloud Computing,UK,309,95,8.64,"Oct 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",22144,0.8
kyoto university,Information Systems,Japan,332,115,8.5,"May 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Financial Proof",6750,0.58
purdue university,Digital Transformation,USA,316,93,7.65,"Feb 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",27215,0.73
karlsruhe institute of technology,Data Analytics,Germany,327,102,9.25,"Apr 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",1656,0.71
epfl,Human-Computer Interaction,Switzerland,325,116,8.4,"Apr 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",2609,0.6
queen's university,Human-Computer Interaction,Canada,316,108,8.74,"Oct 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",21800,0.86
queen's university,Engineering,Canada,305,103,6.55,"May 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",23218,0.72
national university of ireland galway,Computer Science,Ireland,315,90,8.25,"Apr 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof",16541,0.73
tu berlin,Software Engineering,Germany,318,105,8.71,"Apr 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",783,0.79
university of alberta,Robotics Engineering,Canada,318,101,7.55,"Nov 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",19347,0.74
duke university,Cloud Computing,USA,317,101,8.37,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55535,0.64
university college london,Cloud Computing,UK,325,110,8.41,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",31956,0.76
duke university,Digital Transformation,USA,318,104,7.71,"Jul 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",56841,0.63
johns hopkins university,Computational Finance,USA,326,106,8.4,"Apr 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",56897,0.74
university of texas at austin,Business Analytics,USA,314,91,6.99,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",30342,0.68
queen's university,Cybersecurity,Canada,317,106,6.61,"Apr 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22224,0.79
university of california san diego,Computer Science,USA,327,114,8.61,"Mar 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",43253,0.7
university of washington,Engineering,USA,318,100,7.62,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",37910,0.6
australian national university,Cybersecurity,Australia,327,113,9.83,"Dec 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",33307,0.67
university of toronto,Human-Computer Interaction,Canada,329,107,9.81,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28358,0.57
tu munich,Data Analytics,Germany,330,118,9.64,"Sep 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",2617,0.6
university college dublin,Information Systems,Ireland,310,101,6.99,"Apr 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof",18766,0.71
boston university,Data Analytics,USA,324,97,7.99,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44043,0.85
rwth aachen,Data Analytics,Germany,317,108,8.27,"Mar 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",2217,0.68
tu berlin,Software Engineering,Germany,325,107,8.33,"May 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",1766,0.85
humboldt university berlin,Cybersecurity,Germany,331,110,8.28,"Dec 01, 2025","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",936,0.71
university of british columbia,Computer Science,Canada,323,101,9.12,"Oct 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26932,0.69
delft university of technology,Software Engineering,Netherlands,330,108,8.5,"Apr 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",17987,0.58
university of michigan,Software Engineering,USA,327,111,9.37,"Feb 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",46711,0.73
university college london,Cybersecurity,UK,315,111,9.4,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",33308,0.71
rice university,Bioinformatics,USA,332,109,7.85,"Jan 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",51155,0.67
eindhoven university of technology,Software Engineering,Netherlands,315,115,7.5,"Mar 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",18515,0.68
university of warwick,Business Analytics,UK,315,91,6.55,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",28402,0.74
tu berlin,Cybersecurity,Germany,307,101,8.12,"Jun 01, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",2912,0.77
university of warwick,AI & Machine Learning,UK,315,94,8.74,"Jun 30, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",28999,0.82
humboldt university berlin,Machine Learning,Germany,320,111,7.95,"Feb 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter, APS Certificate",2612,0.67
national university of ireland galway,AI & Machine Learning,Ireland,309,95,8.18,"Nov 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof",17875,0.74
university of bern,Data Analytics,Switzerland,310,100,8.62,"Mar 15, 2026","SOP, LOR (2), Transcripts, Resume, Passport Copy, Language Proficiency Certificate, Motivation Letter",2504,0.8
